Distance,Speed,Throttle,Brake,nGear,RPM,X,Y,Z,t,lap
1039.1409077356682,88.42142857142855,0.0,0.0,3.0,6208.05,5829.963327548467,4742.362701344864,2064.4266874919253,16.76,0
1039.6288442436044,88.27857142857141,0.0,0.0,3.0,6209.05,5837.442043801848,4744.684941984656,2064.3238712288107,16.78,0
1040.1167807515412,88.13571428571427,0.0,0.0,3.0,6210.05,5844.92076005523,4747.0071826244475,2064.221054965696,16.8,0
1040.6047172594776,87.99285714285713,0.0,0.0,3.0,6211.05,5852.399476308611,4749.329423264239,2064.1182387025815,16.82,0
1041.0926537674138,87.85,0.0,0.0,3.0,6212.05,5859.878192561992,4751.651663904031,2064.0154224394673,16.84,0
1041.576677576938,87.70714285714286,0.0,0.0,3.0,6213.05,5864.596990788746,4753.485854237868,2063.915054485217,16.86,0
1042.0600109102709,87.56428571428572,0.0,0.0,3.0,6214.05,5868.828744657858,4755.2339180471245,2063.815118585472,16.88,0
1042.5433442436045,87.42142857142858,0.0,0.0,3.0,6215.05,5873.06049852697,4756.981981856381,2063.715182685727,16.9,0
1043.0266775769378,87.27857142857141,0.0,0.0,3.0,6216.05,5877.292252396084,4758.7300456656385,2063.6152467859824,16.92,0
1043.5100109102714,87.13571428571427,0.0,0.0,3.0,6217.05,5881.5240062651965,4760.478109474895,2063.5153108862373,16.94,0
1043.9930664658266,86.99583333333334,0.1291666666668192,0.0,3.0,6219.104166666668,5885.635302813703,4762.220502835697,2063.4182960562566,16.96,0
1044.4708442436047,86.9125,2.7125000000000767,0.0,3.0,6241.187500000001,5887.4579102706975,4763.855157675854,2063.3767815517886,16.98,0
1044.948622021382,86.82916666666665,5.295833333333334,0.0,3.0,6263.270833333333,5889.280517727692,4765.48981251601,2063.335267047321,17.0,0
1045.4263997991602,86.74583333333334,7.879166666666592,0.0,3.0,6285.354166666666,5891.103125184687,4767.124467356167,2063.2937525428533,17.02,0
1045.9041775769376,86.66250000000002,10.46249999999985,0.0,3.0,6307.437499999999,5892.925732641681,4768.759122196324,2063.2522380383857,17.04,0
1046.3819553547157,86.57916666666668,13.0458333333331,0.0,3.0,6329.520833333331,5894.748340098676,4770.393777036481,2063.210723533918,17.06,0
1046.8597331324934,86.49583333333334,15.629166666666826,0.0,3.0,6351.604166666668,5896.5709475556705,4772.028431876638,2063.1692090294505,17.080000000000002,0
1047.3375109102712,86.4125,18.212500000000077,0.0,3.0,6373.6875,5898.393555012665,4773.663086716795,2063.1276945249824,17.1,0
1047.815288688049,86.32916666666665,20.795833333333334,0.0,3.0,6395.770833333332,5900.21616246966,4775.297741556951,2063.086180020515,17.12,0
1048.2930664658268,86.24583333333334,23.379166666666592,0.0,3.0,6417.854166666666,5902.038769926655,4776.932396397108,2063.044665516047,17.14,0
1048.7708442436044,86.16250000000002,25.96249999999985,0.0,3.0,6439.937499999999,5903.86137738365,4778.567051237265,2063.0031510115796,17.16,0
1049.248622021382,86.07916666666668,28.545833333333114,0.0,3.0,6462.020833333331,5905.683984840644,4780.201706077422,2062.961636507112,17.18,0
1049.726483132493,86.01249999999999,31.045833333333235,0.0,3.0,6484.2583333333305,5907.564817677922,4781.889852001589,2062.9254394892064,17.2,0
1050.2059275769373,86.26250000000002,31.962499999999977,0.0,3.0,6509.424999999999,5910.551932740598,4784.594328521946,2062.9902747159836,17.22,0
1050.6959970213818,86.51250000000005,32.879166666666805,0.0,3.0,6534.59166666667,5914.305555555557,4787.927777777778,2063.0944444444444,17.240000000000002,0
1051.1879414658263,86.76250000000005,33.795833333333455,0.0,3.0,6559.758333333337,5918.194444444445,4791.372222222222,2063.2055555555557,17.26,0
1051.6798859102707,87.01250000000005,34.712500000000105,0.0,3.0,6584.925000000003,5922.083333333334,4794.816666666667,2063.3166666666666,17.28,0
1052.1718303547152,87.26249999999999,35.629166666666755,0.0,3.0,6610.091666666669,5925.972222222223,4798.261111111112,2063.427777777778,17.3,0
1052.6637747991597,87.51250000000002,36.545833333333405,0.0,3.0,6635.258333333335,5929.861111111111,4801.705555555556,2063.538888888889,17.32,0
1053.1557192436042,87.76250000000002,37.46250000000005,0.0,3.0,6660.425000000001,5933.75,4805.150000000001,2063.65,17.34,0
1053.6476636880486,88.01249999999999,38.3791666666667,0.0,3.0,6685.591666666667,5937.638888888889,4808.594444444445,2063.761111111111,17.36,0
1054.139608132493,88.26249999999999,39.29583333333335,0.0,3.0,6710.758333333333,5941.527777777777,4812.038888888889,2063.8722222222223,17.38,0
1054.6315525769376,88.51250000000005,40.21250000000016,0.0,3.0,6735.925000000004,5945.416666666667,4815.483333333334,2063.9833333333336,17.400000000000002,0
1055.125622021382,88.76250000000005,41.12916666666678,0.0,3.0,6761.09166666667,5949.344716897034,4819.087916983653,2064.0358451235916,17.42,0
1055.6207122991602,89.01875000000001,42.018750000000026,0.0,3.0,6785.953125000001,5953.267744981055,4822.720254460916,2064.075295164736,17.44,0
1056.128073410271,89.39375000000001,42.39375000000002,0.0,3.0,6805.015625000001,5956.964046610152,4826.3429773128,2064.063052048519,17.46,0
1056.635434521382,89.76875000000001,42.76875000000002,0.0,3.0,6824.078125000001,5960.660348239249,4829.965700164684,2064.0508089323016,17.48,0
1057.1427956324935,90.14375000000001,43.14375000000001,0.0,3.0,6843.140625000001,5964.356649868346,4833.588423016567,2064.0385658160844,17.5,0
1057.6501567436044,90.51875000000001,43.518750000000004,0.0,3.0,6862.203125,5968.052951497442,4837.21114586845,2064.0263226998673,17.52,0
1058.1575178547155,90.89375000000001,43.893750000000004,0.0,3.0,6881.265625,5971.749253126539,4840.833868720334,2064.0140795836496,17.54,0
1058.6648789658268,91.26875000000001,44.26875,0.0,3.0,6900.328125,5975.445554755635,4844.456591572218,2064.0018364674324,17.56,0
1059.1881775769375,91.64375000000007,44.64375000000006,0.0,3.0,6919.390625000003,5978.927777777778,4848.400000000001,2064.0,17.580000000000002,0
1059.7142886880486,92.01875000000007,45.018750000000054,0.0,3.0,6938.453125000002,5982.372222222222,4852.400000000001,2064.0,17.6,0
1060.24039979916,92.39375000000004,45.39375000000005,0.0,3.0,6957.515625000002,5985.816666666667,4856.400000000001,2064.0,17.62,0
1060.766510910271,92.76875000000004,45.76875000000004,0.0,3.0,6976.578125000002,5989.261111111112,4860.400000000001,2064.0,17.64,0
1061.2926220213822,93.14375000000001,46.14375000000003,0.0,3.0,6995.640625000002,5992.705555555556,4864.400000000001,2064.0,17.66,0
1061.8187331324932,93.51875000000001,46.518750000000026,0.0,3.0,7014.703125000001,5996.150000000001,4868.400000000001,2064.0,17.68,0
1062.3448442436043,93.89375000000001,46.89375000000002,0.0,3.0,7033.765625000001,5999.594444444445,4872.400000000001,2064.0,17.7,0
1062.8709553547153,94.26875000000001,47.26875000000001,0.0,3.0,7052.828125,6003.038888888889,4876.4,2064.0,17.72,0
1063.3970664658264,94.64375000000007,47.64375000000007,0.0,3.0,7071.890625000004,6006.483333333334,4880.400000000001,2064.0,17.740000000000002,0
1063.9260768824931,95.02187500000002,48.018750000000026,0.0,3.0,7092.381250000003,6010.508741563579,4885.482060854042,2064.0373895666767,17.76,0
1064.483507438049,95.45937500000002,48.39375000000002,0.0,3.0,7140.006250000002,6015.158227854642,4891.779833623256,2064.116616762835,17.78,0
1065.0409379936043,95.89687500000002,48.76875000000001,0.0,3.0,7187.63125,6019.807714145705,4898.077606392471,2064.1958439589935,17.8,0
1065.5983685491599,96.334375,49.14375,0.0,3.0,7235.25625,6024.457200436769,4904.3753791616855,2064.2750711551516,17.82,0
1066.1557991047157,96.771875,49.51874999999999,0.0,3.0,7282.8812499999985,6029.106686727832,4910.6731519309,2064.35429835131,17.84,0
1066.7132296602706,97.20937499999997,49.89374999999998,0.0,3.0,7330.5062499999985,6033.756173018895,4916.970924700115,2064.4335255474684,17.86,0
1067.2706602158264,97.64687499999997,50.268749999999976,0.0,3.0,7378.131249999997,6038.405659309959,4923.268697469329,2064.5127527436266,17.88,0
1067.828090771382,98.08437500000005,50.64375000000004,0.0,3.0,7425.756250000004,6043.0551456010235,4929.566470238545,2064.591979939785,17.900000000000002,0
1068.3855213269378,98.52187500000002,51.01875000000003,0.0,3.0,7473.381250000003,6047.704631892087,4935.86424300776,2064.671207135943,17.92,0
1068.9429518824932,98.95937500000002,51.393750000000026,0.0,3.0,7521.006250000002,6052.354118183151,4942.162015776974,2064.7504343321016,17.94,0
1069.5003824380485,99.39687500000002,51.76875000000002,0.0,3.0,7568.631250000001,6057.003604474214,4948.459788546189,2064.8296615282597,17.96,0
1070.0578129936043,99.83437500000002,52.14375000000001,0.0,3.0,7616.25625,6061.653090765277,4954.757561315403,2064.908888724418,17.98,0
1070.61524354916,100.27187500000002,52.51875,0.0,3.0,7663.881249999999,6066.302577056341,4961.055334084618,2064.988115920576,18.0,0
1071.1805247991597,100.709375,52.89374999999999,0.0,3.0,7711.5062499999985,6069.950759557605,4966.29508761724,2065.035573522067,18.02,0
1071.7471914658265,101.14687499999997,53.268749999999976,0.0,3.0,7759.131249999997,6073.422241390082,4971.348131872816,2065.077424724499,18.04,0
1072.3138581324931,101.58437499999997,53.64374999999997,0.0,3.0,7806.756249999996,6076.893723222558,4976.401176128394,2065.1192759269306,18.06,0
1072.8815896137774,102.01111110904992,54.038888881674765,0.0,3.0,7853.691666352854,6080.29542333743,4981.383592611275,2065.1585735994754,18.080000000000002,0
1073.4695525727896,102.23333329004834,54.81666651516912,0.0,3.0,7887.5249934098565,6082.371270817812,4985.024081412946,2065.149354204157,18.1,0
1074.0575155318015,102.4555554710467,55.59444414866346,0.0,3.0,7921.358320466861,6084.447118298194,4988.664570214615,2065.1401348088384,18.12,0
1074.6454784908144,102.67777765204511,56.372221782157816,0.0,3.0,7955.191647523865,6086.522965778576,4992.305059016286,2065.13091541352,18.14,0
1075.2334414498266,102.89999983304348,57.14999941565217,0.0,3.0,7989.02497458087,6088.598813258957,4995.945547817955,2065.121696018202,18.16,0
1075.8214044088386,103.12222201404187,57.92777704914651,0.0,3.0,8022.858301637873,6090.67466073934,4999.586036619626,2065.1124766228836,18.18,0
1076.4093673678515,103.34444419504025,58.705554682640866,0.0,3.0,8056.691628694878,6092.750508219721,5003.226525421295,2065.1032572275653,18.2,0
1076.9973303268634,103.56666637603864,59.48333231613522,0.0,3.0,8090.524955751882,6094.826355700104,5006.867014222966,2065.094037832247,18.22,0
1077.5852932858757,103.78888855703705,60.2611099496297,0.0,3.0,8124.358282808893,6096.902203180486,5010.507503024636,2065.084818436929,18.240000000000002,0
1078.1732562448885,104.01111073803544,61.03888758312405,0.0,3.0,8158.191609865897,6098.978050660868,5014.147991826306,2065.07559904161,18.26,0
1078.7612192039005,104.23333291903383,61.816665216618404,0.0,3.0,8192.0249369229,6101.05389814125,5017.788480627976,2065.066379646292,18.28,0
1079.3491821629127,104.45555510003221,62.594442850112756,0.0,3.0,8225.858263979906,6103.129745621632,5021.428969429646,2065.0571602509735,18.3,0
1079.9371451219251,104.6777772810306,63.3722204836071,0.0,3.0,8259.69159103691,6105.205593102013,5025.069458231316,2065.0479408556553,18.32,0
1080.5251080809376,104.89999946202899,64.14999811710145,0.0,3.0,8293.524918093914,6107.281440582396,5028.709947032986,2065.038721460337,18.34,0
1081.1130710399498,105.12222164302737,64.9277757505958,0.0,3.0,8327.358245150917,6109.357288062778,5032.350435834655,2065.0295020650187,18.36,0
1081.7010339989622,105.34444382402576,65.70555338409015,0.0,3.0,8361.191572207923,6111.4331355431605,5035.990924636326,2065.0202826697005,18.38,0
1082.2889969579744,105.5666660050242,66.48333101758465,0.0,3.0,8395.024899264932,6113.508983023542,5039.631413437996,2065.011063274382,18.400000000000002,0
1082.8769599169873,105.78888818602258,67.26110865107898,0.0,3.0,8428.858226321936,6115.5848305039235,5043.271902239667,2065.0018438790635,18.42,0
1083.4685802865672,106.04687500000006,68.03750000000005,0.0,3.0,8463.971875000003,6117.800044788116,5047.499014611243,2064.9953691968876,18.44,0
1084.1158025087893,106.98437500000004,68.78750000000002,0.0,3.0,8523.409375000003,6120.418874851963,5052.7457397582175,2064.9957845155523,18.46,0
1084.7630247310117,107.92187500000001,69.53750000000001,0.0,3.0,8582.846875000001,6123.037704915808,5057.992464905191,2064.9961998342174,18.48,0
